iter	RMSE
0	20183.73698
1	19151.53074
2	18248.36793
3	17488.01527
4	16834.99755
5	16286.22065
6	15820.92323
7	15422.41668
8	15098.16695
9	14819.29388
10	14583.86998
11	14383.51823
12	14219.56925
13	14081.41989
14	13962.45014
15	13858.815
16	13777.96512
17	13707.14637
18	13644.92376
19	13588.13376
20	13544.27262
21	13506.9606
22	13474.80167
23	13445.98593
24	13421.62484
25	13397.29742
26	13378.12428
27	13362.79976
28	13347.98039
29	13332.94018
30	13319.95391
31	13309.54813
32	13299.14324
33	13287.1438
34	13278.19315
35	13268.08969
36	13259.67996
37	13249.97695
38	13239.75714
39	13231.19763
40	13225.58756
41	13218.9942
42	13210.83407
43	13204.59726
44	13199.52926
45	13191.64469
46	13185.7483
47	13181.99946
48	13176.45052
49	13171.1827
50	13163.43876
51	13157.95847
52	13151.73298
53	13148.89746
54	13145.30005
55	13137.51512
56	13132.97383
57	13128.34457
58	13124.32176
59	13117.41694
60	13113.57748
61	13106.03378
62	13101.63883
63	13097.48458
64	13093.42709
65	13090.16279
66	13085.45969
67	13079.09986
68	13076.20131
69	13071.1155
70	13065.63342
71	13060.6403
72	13054.67975
73	13050.27888
74	13045.5774
75	13042.00184
76	13035.09322
77	13030.18283
78	13025.39195
79	13021.58399
80	13018.82204
81	13015.34671
82	13010.82828
83	13007.93422
84	13004.4328
85	13003.09789
86	12999.82934
87	12994.69005
88	12990.83718
89	12988.21772
90	12985.10979
91	12982.38196
92	12981.06336
93	12977.12011
94	12974.58583
95	12970.45721
96	12965.55254
97	12961.3356
98	12957.58523
99	12953.96816
100	12949.64657
101	12947.77094
102	12944.49547
103	12938.65494
104	12934.48419
105	12931.61178
106	12928.87731
107	12926.04799
108	12924.39542
109	12919.79976
110	12916.19146
111	12910.6291
112	12907.81848
113	12903.68851
114	12900.329
115	12897.31736
116	12893.65668
117	12890.12812
118	12884.89933
119	12882.82657
120	12877.95089
121	12875.20844
122	12871.2912
123	12865.77243
124	12863.43731
125	12860.22462
126	12856.2969
127	12852.4819
128	12850.41867
129	12847.16643
130	12843.77653
131	12840.64764
132	12836.79614
133	12833.48628
134	12830.85291
135	12828.46942
136	12824.68927
137	12820.83591
138	12817.37938
139	12813.94154
140	12810.38796
141	12806.18398
142	12801.31532
143	12798.04683
144	12794.98889
145	12791.02517
146	12787.09985
147	12784.71718
148	12781.86057
149	12778.82103
150	12776.42528
151	12771.62608
152	12769.20374
153	12766.95039
154	12764.34447
