iter	Passed	Remaining
0	32	32844
1	75	37443
2	112	37484
3	147	36703
4	178	35563
5	214	35499
6	247	35045
7	279	34706
8	312	34406
9	346	34280
10	376	33852
11	410	33836
12	452	34345
13	500	35281
14	544	35783
15	580	35678
16	612	35405
17	642	35040
18	670	34643
19	697	34200
20	726	33849
21	754	33535
22	784	33309
23	811	32992
24	838	32711
25	870	32615
26	903	32567
27	940	32632
28	976	32710
29	1011	32720
30	1054	32952
31	1088	32931
32	1122	32886
33	1152	32735
34	1179	32527
35	1208	32354
36	1238	32226
37	1267	32100
38	1305	32159
39	1343	32248
40	1381	32322
41	1420	32390
42	1453	32345
43	1489	32359
44	1524	32346
45	1555	32254
46	1585	32152
47	1616	32055
48	1644	31910
49	1673	31796
50	1701	31654
51	1729	31530
52	1757	31406
53	1785	31274
54	1812	31144
55	1839	31012
56	1872	30974
57	1904	30937
58	1940	30953
59	1978	30992
60	2012	30974
61	2044	30938
62	2082	30978
63	2116	30951
64	2148	30902
65	2178	30832
66	2211	30789
67	2243	30743
68	2274	30683
69	2315	30762
70	2351	30768
71	2386	30761
72	2418	30709
73	2449	30648
74	2479	30575
75	2509	30507
76	2538	30423
77	2568	30362
78	2597	30280
79	2626	30206
80	2656	30144
81	2689	30106
82	2730	30169
83	2765	30152
84	2800	30148
85	2832	30105
86	2871	30135
87	2910	30161
88	2943	30125
89	2974	30076
90	3007	30043
91	3039	30003
92	3070	29944
93	3104	29924
94	3141	29927
95	3180	29952
96	3216	29945
97	3252	29935
98	3280	29857
99	3308	29776
100	3337	29709
101	3369	29665
102	3398	29592
103	3428	29539
104	3456	29461
105	3483	29375
106	3513	29323
107	3545	29282
108	3584	29303
109	3621	29301
110	3657	29291
111	3691	29269
112	3725	29242
113	3756	29193
114	3786	29137
115	3814	29071
116	3842	29000
117	3870	28929
118	3900	28875
119	3928	28808
120	3956	28744
121	3988	28703
122	4017	28648
123	4045	28578
124	4071	28503
125	4099	28432
126	4127	28369
127	4155	28312
128	4183	28248
129	4208	28166
130	4237	28111
131	4264	28044
132	4293	27985
133	4322	27935
134	4353	27897
135	4384	27856
136	4416	27823
137	4450	27796
138	4481	27761
139	4508	27693
140	4539	27655
141	4572	27628
142	4603	27588
143	4631	27532
144	4664	27505
145	4700	27494
146	4732	27459
147	4765	27433
148	4797	27399
149	4830	27373
150	4863	27345
151	4895	27314
152	4921	27244
153	4948	27185
154	4977	27135
155	5003	27072
156	5030	27013
157	5057	26951
158	5087	26911
159	5114	26852
160	5143	26804
161	5175	26774
162	5207	26739
163	5235	26687
164	5263	26637
165	5292	26588
166	5319	26535
167	5346	26476
168	5375	26430
169	5402	26377
170	5429	26324
171	5456	26269
172	5487	26229
173	5516	26186
174	5542	26128
175	5568	26071
176	5598	26032
177	5626	25981
178	5651	25920
179	5678	25869
180	5707	25824
181	5732	25766
182	5759	25713
183	5785	25657
184	5814	25617
185	5843	25572
186	5871	25525
187	5902	25494
188	5929	25442
189	5957	25397
190	5983	25345
191	6012	25301
192	6040	25255
193	6067	25206
194	6093	25157
195	6121	25111
196	6147	25056
197	6183	25045
198	6211	25001
199	6240	24962
200	6268	24916
201	6296	24873
202	6323	24828
203	6351	24784
204	6377	24733
205	6405	24689
206	6432	24642
207	6460	24600
208	6487	24554
209	6518	24523
210	6553	24506
211	6581	24463
212	6608	24417
213	6635	24369
214	6663	24329
215	6692	24289
216	6720	24248
217	6747	24203
218	6776	24164
219	6803	24122
220	6832	24083
221	6860	24042
222	6887	23999
223	6914	23954
224	6941	23908
225	6969	23868
226	6997	23828
227	7024	23784
228	7050	23738
229	7080	23704
230	7108	23664
231	7135	23621
232	7163	23581
233	7193	23548
234	7223	23516
235	7254	23485
236	7282	23444
237	7310	23404
238	7337	23363
239	7365	23323
240	7392	23282
241	7419	23239
242	7446	23198
243	7473	23154
244	7506	23133
245	7543	23121
246	7572	23084
247	7606	23064
248	7636	23033
249	7666	22998
250	7696	22967
251	7730	22947
252	7760	22912
253	7789	22878
254	7822	22853
255	7857	22835
256	7888	22805
257	7918	22772
258	7955	22759
259	7998	22763
260	8032	22743
261	8065	22718
262	8101	22701
263	8135	22680
264	8165	22649
265	8196	22616
266	8227	22588
267	8260	22561
268	8290	22530
269	8319	22494
270	8350	22462
271	8381	22432
272	8410	22397
273	8440	22363
274	8471	22334
275	8500	22299
276	8531	22268
277	8562	22236
278	8597	22217
279	8627	22184
280	8659	22157
281	8686	22117
282	8713	22075
283	8740	22034
284	8765	21990
285	8798	21964
286	8825	21924
287	8853	21886
288	8886	21863
289	8915	21827
290	8942	21788
291	8969	21748
292	8997	21710
293	9025	21672
294	9053	21635
295	9080	21596
296	9110	21563
297	9137	21524
298	9163	21484
299	9196	21459
